title,text,subject
 Trump Tells The Dakotas: I Will Make The Drought ‘Go Away’,"Amateur president Donald Trump told the drought-stricken Dakotas that he can make the drought  go away  and told attendees during a tax reform speech that they are  better off  than cities flooded by Hurricane Harvey. I know you have a little bit of a drought. They had the opposite, believe me,  Trump said during his speech in Mandan, North Dakota. You re better off. You are better off, they had the absolute opposite,  the climate change denier said.Trump continued to say that he was surprised that droughts could happen  this far north. We re doing everything we can but you have a very serious drought,  he said.  I just said to the governor, I didn t know you had droughts this far north. Guess what: you have them. We re working hard on it, and it will disappear, it will all go away,  he said.According to a federal drought monitor report which was issued last week, it said there were  long-term precipitation deficits  in parts of the Dakotas, Nebraska and Montana, where 41 percent of the state s pasture and range conditions are rated  very poor,  The Hill reports.Trump said his Agriculture Department has been working closely with states in the region to alleviate the impact of the drought on farmers and ranchers. We will always stand strong with our farmers and our ranchers, the backbone of America, that I can tell you 100 percent,  he added.Trump nominated an Oklahoma politician who is a climate change skeptic to run NASA   an agency which monitors man-made climate change. The former reality show star, a purveyor of fake news, once tweeted that  the concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive. During the presidential debates, Trump walked it back and said he was  joking  but now that Houston is underwater and Hurricane Irma is pummeling Puerto Rico on its way to Florida and the Dakotas are in the midst of a drought, we re wondering how funny that joke is because it certainly garnered a lot of likes and retweets from his fans.Maybe Trump plans to call Michele Bachmann so she can pray the drought away. Now there s a novel idea.Photo by Alex Wong/Getty Images.",0
 Facebook Just Confirmed Russia Spent At Least $100k On Ads To Influence Election,"Earlier today, Facebook representatives told Congress something that should shake every American to their core: A shady Russian company bought thousands of dollars worth of ads specifically targeting American voters. $100,000, to be exact. In other words, Russian actors actively sought to influence the outcome of our election.Facebook has traced the ads back to what they re calling a  Russian troll farm,  which is known to spread propaganda friendly to the Kremlin. Some mentioned both Trump and Hillary by name, while most merely worked to stoke fears about gun rights, immigration, and other issues   the same fears that Trump himself stoked during his campaign.With all the brouhaha surrounding  fake news,  and the question of how big a role social media played in the dissemination of fake news that may have unduly influenced our electoral outcome, this is a massive revelation indeed.NBC News posted Facebook s official statement on the matter to their Twitter account. It reads, in part: We have found approximately $100,000 in ad spending from June of 2015 to May of 2017 associated with roughly 3,000 ads that was connected to about 470 inauthentic accounts and Pages in violation of our policies. Our analysis suggests these accounts and Pages were affiliated with one another and likely operated out of Russia. Read their full statement below:Facebook statement: 470 inauthentic accounts  likely operated out of Russia  bought roughly $100,000 in ads between June 2015 and May 2017 pic.twitter.com/XZqvUKB0gG  NBC News (@NBCNews) September 6, 2017How utterly convenient that these ads started popping up right as Trump formally announced his candidacy. This was even before the primary season really got underway, and the GOP field was crowded. At that point, we weren t going to know for months who the GOP candidate would be. Yet, when combined with all the other evidence against Trump and his campaign, such as meetings between Don Jr. and a Russian lawyer, the Trumps  financial connections in Russia, and more, the dark picture of Russian meddling starts becoming a little clearer.Here s the thing: While the amount these Russians spent is just a tiny fraction of overall spending during the campaign cycle, and most of the ads didn t actually reference our election, the targeting was more specific than it ought to have been. That brings up questions about whether these Russian operators had help from within the U.S. when it came to targeting their ads.If they did indeed have help from inside our borders, where did the help come from? Russians already here? Or people close to some of the candidates (like, oh, say, Donald Trump and his family)? Facebook can t determine that, but hopefully investigators will be able to uncover some information about it soon.Featured image via Spencer Platt/Getty Images",0
 Trump Humiliated As DACA Decision Practically Kills His Presidency (DETAILS),"As we saw with his Muslim travel ban as well as his attempt to repeal and replace Obamacare, every time Donald Trump puts forth one of his disastrous ideas, it blows up in his face and delivers a devastating blow to his already failing presidency.Each time Trump introduces an unpopular policy or idea, his already historically low approval rating takes another nosedive. This week, Trump only managed to make things worse for himself when he decided to end former President Obama s Deferred Action for Childhood Arrival (DACA) program. Here s the problem   most Americans disagree with him.According to a recent survey from Morning Consult/Politico, almost 80% (76% to be exact) of Americans do not believe that Dreamers (the undocumented immigrants that were brought into the United States illegally as kids) should be forced to return to their countries. The majority of Americans are far more humane than Trump, and believe that these immigrants should have the opportunity to become citizens, as most have been productive members and have contributed greatly to American society.Trump is especially in trouble because his decision to end DACA only offers more proof that he is a racist a**hole. As MSNBC s Joy Reid perfectly pointed out, there is  no economic, national security or social cohesion rationale  for ending DACA: Trump might say that he has  great love  for the immigrants that are living in America, but his decision proves the exact opposite. Trump wants to strip Dreamers of the lives and progress they have made for themselves in this country and force them to return to countries they are unfamiliar with, where they will have nothing.With this decision, Trump is not only screwing himself over by killing his presidency, but he is also basically putting the GOP in great danger in future elections by excluding one of the fastest-growing voting demographics. Trump is sinking the Republican Party   and his presidency   at record speed.Featured image via video screen capture ",0
 Seahawks Star Has Even MORE To Protest Before Games After Police Brutality In Vegas,"One of the most feared defensive ends in football, Michael Bennett of the Seattle Seahawks, posted an account on Twitter Wednesday of his own story of police brutality, and it happened less than three weeks ago.Bennett was in Las Vegas the day after his team bested the Kansas City Chiefs in a preseason matchup. Before that game, as Bennett has the entire preseason, he sat during the national anthem in protest against police brutality nationwide. Number 72 has been an outspoken activist for years, but this year he has elected to actually join other players in protest of the treatment of people of color at the hands of police.As he did previous 2 weeks, Michael Bennett sits during national anthem. As last week, teammate Justin Britt stands at his side. #Seahawks pic.twitter.com/5ko7KG4jT2  Gregg Bell (@gbellseattle) August 26, 2017Ironic doesn t begin to cover what happened to him the very next day. With a statement far too large to fit into even a series of tweets, Bennett posted his account of what happened after the much-hyped fight between Floyd Mayweather and Conor McGregor in Las Vegas on August 26th:To be clear, Michael Bennett is a very big man. At six-foot-four and 275 pounds of pure muscle, Bennett wears a smaller version of standard NFL shoulder pads so they don t get in his way as he crushes his opponents on the field. But this beast of a man, compliant in every way, finally encountered something that made him fear for his life: The police.Any Seahawks fan   and I am one of the biggest   will tell you that Michael Bennett is the last person that would ever be a suspect in any kind of violent crime. If he seems like a monster when he gears up, it is in polar opposite to his life off the field. He lives in Hawaii with his wife and three young daughters. His brother Martellus, a tight end for the Packers, writes children s books. Michael collaborates with his brother s business, The Imagination Agency. He is a happy man.But today he is not happy. If NFL fans thought they were going to get players to stop protesting during the national anthem by complaining about their patriotism, they should seek out Michael Bennett and ask him how much he loves this country. Bennett is a proud American, standing up against the police brutality that has claimed so many young black lives, and almost claimed his own.Featured image via Elsa (Staff)/Getty Images",0
" Airlines Immune From Price Gouging Laws In Florida, Royally Screwing Evacuees","Imagine you just heard on the news that  the strongest storm ever observed in the Atlantic  was headed your way, and soon. You would, like anyone concerned for themselves and their family, want to get out as soon as possible. And the quickest way to evacuate from anywhere is the fastest method of travel on earth: Air. But you hit a small snag. You don t have the goddamn fortune that the airlines are now charging for flights that were less than half as much the day before. That has to be against the law, right?Wrong. In Florida, where Hurricane Irma is bearing down like a banshee, there are price-gouging laws like there are in every state. But airlines don t answer to specific states. They re regulated by the FAA and the Department of Transportation, which means no state or local statutes apply to them.So when Lisette Diaz tried to book a flight to get her family out of South Florida, she found that flights from the area   during what is normally a lull in the travel season in Florida   had skyrocketed from a few hundred dollars to over $3,000. Trying to get to New York, she finally settled on tickets out of Fort Lauderdale that cost upwards of $1,300 per traveler. According to the Miami Herald, there were four people traveling with her, including her mother, grandmother, adult cousin, and 11-year-old sister. $6,600 later, she had her tickets.Diaz was far from the only person to run into price gouging. Florida s Attorney General Pam Bondi activated the state s price-gouging hotline for travelers to report these egregious acts.The Herald reported that Antonio Mercurius actually got his tickets from Miami to D.C. on Monday, before the pricing spikes. Out of curiosity, he checked the price of the same ticket the next day and found it had gone up more than 800% per ticket. Said Mercurius,I understand supply and demand but the laws of capitalism should not operate in the times of catastrophic danger. What happens to the people that can t afford flights now?People trying to evacuate responsibly before the storm vented their frustration on Twitter:@AmericanAir really charging $2000 for a flight from Miami to DC. Scum I tell you.  The Last DJ Bender! (@djpushplay21) September 5, 2017Searching for flight tickets for my sister, grandma and cousin and they are over 1k from Miami   New York!  Tu Deseo ?  (@Lissette24twiny) September 5, 2017Totally unacceptable, a $358 flight from Miami to NYC went up to $3578. Why should expect anything decent from these airlines??? F ing RATS! https://t.co/rjdH6J0yOL  Joseph Pep Nodarse (@joerileyhudson) September 6, 2017Looking for flights for the last hour-plus was one of the most stressful experiences I've had in quite a while. Finally got one.  Alex Schwartz (@AlexJSchwartz) September 5, 2017Leave it to the industry that brought you fees for everything from blankets and pillows to a simple name change on a ticket to really kick evacuees while they re down. While we watch storms like Harvey and Irma bring out the best in neighbors and charities, the airline industry quietly profits for our misery.Featured image via Joe Raedle/Getty Images",0
" Florida Sheriff Exploits Desperate Hurricane Victims, Will Arrest Anyone With A Warrant Seeking Shelter","Ever since Donald Trump s rise, some of the most heartless people in positions of power have come out of the woodwork   likely because they are emboldened by Trump s being a heartless bastard from the bully pulpit of the White House. Case in point   Sheriff Grady Judd of Florida s Polk County.Of course, Florida is right in the middle of the path of the Category 5 beast known as Hurricane Irma. Therefore, there will be people in need of shelter and safety from the storm. However, instead of trying to help people stay alive during Irma, Sheriff Judd has reminded them that if they have any warrants out and they seek shelter, they will be arrested and taken to jail.  Hell, they even suggest that to make it easier, you should just turn yourself in to the jail instead! This was, of course, announced via Twitter:Here is a screenshot of the relevant tweets, via CNN s Twitter:Of course, this is incredibly dangerous. This man should be doing everything he can to protect the residents of the county he is sworn to serve and protect, not threatening them with jail time for seeking shelter from what could clearly be a very deadly storm. It s like this Sheriff wants people to be afraid to seek help, and ultimately wind up dying in a deadly hurricane. His actions are complete dereliction of duty, and he should be relieved of said duties.Of course, we all know that won t happen. What is more likely to happen is that more deaths occur than otherwise would have because people are too afraid to come forward for help.Featured image via CNN Twitter",0
" Senate Says ENOUGH Of Trump’s Racism, Will Force Him To Go On Legal Record Condemning White Supremacists","Most of the nation and world watched in horror just a couple of weeks ago as white supremacists, neo-Nazis, Ku Klux Klan members, and other various white power groups descended on Charlottesville, Virginia. Their violent, hateful rally eventually resulted in the death of a brave counter protester, 32-year-old Heather Heyer.As if that weren t bad enough, Donald Trump s response to this racist violence made the situation that had already turned the nation into a tinder box even worse. Instead of condemning white supremacy as any sane, non-bigoted person would, Trump instead made an equivocation between the vile white supremacists and the people there protesting their hate. Only when he was forced to do so did he condemn the violent hate groups by name. However, Trump, being the arrogant, bigoted jackass that he is, could not let that carefully scripted statement stand. In a freewheeling press conference for the ages, Trump ranted for more than half an hour about how the other side was just as bad as the white supremacists. Well, now, it seems that members of the United States Senate are sick of Trump s bigotry and pandering to white supremacists, and they plan to force his hand on the issue.Politico is reporting that a bipartisan group of Senators   Tim Kaine (D-VA), Mark Warner (D-VA), Lisa Murkowski (R-AK), and Cory Gardner (R-CO)- have drawn up a resolution that will have Trump make a legal statement against what happened in Charlottesville. That isn t all it does, though. It also forces Trump, once and for all and on the record, to commit to  rejecting white nationalists, white supremacists, the Ku Klux Klan, neo-Nazis and other hate groups. This is an extraordinary move, considering that resolutions are usually just symbolic in nature and not controversial at all. Generally, they just recognize honorary holidays for people of note and things like that. However, this resolution   dubbed the Charlottesville Resolution   will force Trump to, once and for all, stop winking and nodding at these vile hate groups. Senator Mark Warner said: Let there be no mistake: what happened in Charlottesville was an act of domestic terrorism perpetrated by a white supremacist, one that tragically cut short the life of a young woman, Heather Heyer, who was speaking out against hatred and bigotry. We will be pressing our colleagues to swiftly and unanimously approve this resolution in order to send a strong message that the United States Congress unconditionally condemns racist speech and violence. Senator Tim Kaine said in a statement of his own: During the violent white supremacist demonstrations in Charlottesville last month, our country lost three brave Virginians in Heather Heyer and Virginia State Police officers, Lieutenant Jay Cullen and Trooper Pilot Berke Bates. This resolution honors their lives while supporting the Charlottesville community as it heals and rightfully calls on us all, including President Trump, to do better as we combat acts of hate. The beautiful thing about this is that every single Senator will have to vote in favor of it, lest they be labeled a Nazi sympathizer for the rest of their political careers. While Teflon Don gets away with being an open racist, it has been shown time and time again that these other politicians do not have cults of personality of their own and will not be so fortunate should they attempt the same sort of behavior.To that end, Trump will have no choice but to sign this Charlottesville Resolution, and it will be in the presidential records as long as this republic exists.Featured image via Zach Gibson   Pool/Getty Images",0
 Trump Brags About Hurricane Size As Florida Braces For Disaster,"Donald Trump is apparently thrilled that Hurricane Irma will be the biggest storm to ever hit the United States.Only weeks after Hurricane Harvey left a swath of devastation and death in Texas, Florida is bracing for an even deadlier and more destructive storm.People will die. Businesses and homes will be wiped off the map. Suffering and homelessness will be the reality in Florida. But Trump is too busy bragging about the size of the hurricane to actually care about the people who are in the path of the storm.In yet another Twitter rant on Wednesday morning, Trump proclaimed that his team is already in Florida preparing for the storm after bragging about what a  good job  they have done in Texas.Watching Hurricane closely. My team, which has done, and is doing, such a good job in Texas, is already in Florida. No rest for the weary!  Donald J. Trump (@realDonaldTrump) September 6, 2017In fact, Trump s response to Hurricane Harvey was to brag about the size of that storm, and he ended an Obama-era flood policy as Houston drowned. Trump has also proposed massive cuts to FEMA and the National Oceanic and Atmospheric Administration, which predicts and tracks hurricanes.It should also be noted that Trump inherited a FEMA that took the lessons of Hurricane Katrina seriously in preparation for future storms. So, Trump and his team did nothing special.But what Trump did next on Twitter shows just how little empathy and compassion he has for the people in the path of Hurricane Irma.Hurricane looks like largest ever recorded in the Atlantic!  Donald J. Trump (@realDonaldTrump) September 6, 2017Yeah, you read that right. Trump literally bragged about the size of this hurricane as if it s something to be proud of. This coming from a man who denies the very climate change that is causing bigger and more destructive hurricanes to form.As Floridians prepare for disaster, they must be wondering why Trump is so excited about watching them get slammed by the largest hurricane to ever strike the United States. If anything, Trump should be concerned about the coming destruction and death instead of bragging like he s about to win a prize.Featured Image: Jim Lo Scalzo   Pool/Getty Images",0
" AG Sessions Persuaded Trump To End DACA, Then Race-Baited His Way Through The Speech That Killed It","It s certainly no secret that Jefferson Beauregard Sessions III, a man named after both the president of the Confederacy and the guy who actually started the Civil War, is an unholy racist. Like, he s so racist that the wife of Dr. Martin Luther King, Jr., actually delivered a letter to Congress pleading with them not to confirm him as a U.S. attorney 31 years ago.So it s no surprise to find out that Sessions was the driving force behind convincing Donald Trump to end DACA, the temporary deferment program for undocumented immigrants that protects them from deportation if they came here as children. Sessions sees no difference between an  illegal alien  who steals a car and one who may sit next to one of his 10 grandchildren in school one day.So imbued with the essence of Jeff Sessions was the Trump decision to boot nearly a million kids out of the country in less than a year s time that it was the AG himself who delivered the speech announcing it. And it was during that speech on Tuesday that the former senator from Alabama revealed the truth behind the decision to end DACA: That despite the fact that even many Republicans favor the basic protections that DACA affords, it is racism that serves as the foundation for undoing it. From the speech: The effect of this unilateral executive amnesty, among other things, contributed to a surge of unaccompanied minors on the southern border that yielded terrible humanitarian consequences. It also denied jobs to hundreds of thousands of Americans by allowing those same jobs to go to illegal aliens. This is a direct appeal to the racist tendencies of the Americans who put Donald Trump in office.Number one, the  surge of unaccompanied minors  that Sessions refers to began well before DACA was implemented. To suggest otherwise is a dog whistle to right-wing voters. A BBC report from 2012 showed that the number of unaccompanied minors who were apprehended near the border increased from October 2011 to March 2012 by 93% over the same period in the previous year. DACA was not implemented until June of 2012. Besides that, any who came after DACA was announced wouldn t have qualified in the first place. You had to have been in the United States at the time of implementation to benefit from the executive order.Number two, Sessions brings up the myth of the job-stealing immigrant. The theory, again an appeal to racists, is ridiculous from the start. Immigrants don t even look for the same jobs as native citizens. There is no evidence to support the claim that DACA has had any effect on jobs   other than as a boost to our economy. In fact, with the job losses that will come as DACA expires   something to the tune of 30,000 workers a month   employers stand to lose billions in training new employees, and the federal government will lose tens of billions in lost revenue and GDP.But those facts don t jibe with the Sessions narrative.Don t let the mini-quarrel that Trump and Sessions got into earlier this year fool you. They both have a racist agenda, and this is the first major step in implementing it.Featured image via Alex Wong/Getty Images",0
 Putin Breaks Up With Trump In HUMILIATING Public Split: He Is ‘Not My Bride’,"Ever since Donald Trump rode down the escalator at Trump Tower and announced his disgraceful bid for the White House, people have been making jokes about his alleged love affair with Russian autocrat Vladimir Putin. This is more than fair; after all, Putin is the ONE person Trump refuses to criticize. The orange one has viciously attacked everyone from the cast of the hit Broadway musical Hamilton, to Congresspeople and Senators in both his own party and the opposing party, too many celebrities to mention, cable news hosts, and just about anyone else you could think of. But not Vladimir Putin, not ever. The only close second is Trump s bizarre coddling of white supremacists and Nazis.Therefore, it must be the ultimate humiliation to have Putin do the unthinkable to Trump in a VERY public way: and say, and I quote, that,  is not my bride.  According to the New York Times, the Russian dictator seems to be tiring of Trump s chaos. At this point, Putin has spent a lot of political capital on the world stage helping get Trump elected, and yet Trump has failed to deliver sanctions relief, a better U.S.-Russia relationship, or anything else to the brutal dictator. Putin reportedly said of Trump: [He is] not my bride, and I am not his groom. Of course, Trump wants to be seen as a man s man, so to be emasculated by being referred to in the feminine by the man whose bitch everyone has accused him of being is really rubbing salt in that wound. Apparently, Putin made the remarks when being asked about what he thought of the idea that Trump might be removed from office forcibly before his four-year term is completed. Of course, no matter how humiliating this is for Trump, there will be no retaliation. He can t strike out at Putin; after all, this is the one man on the face of the planet who likely has the MAJOR goods on Trump.Now, if only Putin would grow tired of this game and release the most damning information ever and help us end this embarrassing American nightmare.Featured image via Sean Gallup/Getty Images",0
